Comment,Designator,Footprint,LCSC
120R 100MHZ,L1,L_0402_1005Metric,C107331
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C114586
1k,R2,R_0402_1005Metric,C11702
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133334
27R,"R7,R8",R_0402_1005Metric,C137890
0.1uf,"C11,C12,C13,C14,C15,C16,C17,C5,C6,C7,C8",C_0402_1005Metric,C1525
AP2127K-3.3,U1,SOT-23-5,C156285
30pf,"C3,C4",C_0402_1005Metric,C1570
4.7uF,"C1,C2",C_0603_1608Metric,C19666
RP2040,U5,RP2040-QFN-56,C2040
1K,R1,R_0603_1608Metric,C21190
10k,"R3,R4",R_0603_1608Metric,C25804
5.1K,"R5,R6",R_0402_1005Metric,C25905
USBLC6-2P6,U2,SOT-666,C2827693
W25Q16JVUXIQ_TR,U4,IC_W25Q16JVUXIQ_TR,C2843335
USB-TYPE-C-018,J4,GCT_USB4105-GF-A,C2927038
1uf,"C10,C9",C_0402_1005Metric,C52923
74LVC1G17,U3,SOT-753,C6076
